,Área,1º sem 2016,2º sem 2016,1º sem 2017,2º sem 2017,1º sem 2018,2º sem 2018
Consórcio Transnoroeste 1,1,0,0.04203802417,-0.02149203013,0.002123014567,-0.03062524714,0.003260952942
Consórcio Transnoroeste 2,2,0,0.04330195017,-0.0217868238,-0.004826754048,-0.01362564503,-0.005180889973
Empresa Transunião Transporte S/A,3,0,0.05694928536,0.001800808629,0.03302018854,-0.008219803227,0.03258284466
Qualibus Qualidade em Transporte S/A,3,0,-0.005918390118,-0.1962386272,-0.2054806124,-0.116030307,0.01678410049
Pêssego Transportes Ltda,4,0,0.08007194028,0.03563701399,0.08176003511,0.05216631873,0.09004306852
Allibus Transportes Ltda,4,0,0.06284706012,0.01064916563,0.0426780267,0.007508441079,0.02437224322
Move e Imperial,5,0,0.03912443693,-0.01421233946,0.009300323611,-0.02861283239,-0.04602244864
Transwolff Transportes e Turismo Ltda 6,6,0,0.0311086174,-0.01841197719,0.009809331573,-0.0387198083,-0.009033581958
A 2 Transportes Ltda,6,0,0.02755768743,-0.03719132682,-0.001127774997,-0.009322232517,0.0147404835
Transwolff Transportes e Turismo Ltda 7,7,0,0.04322843184,-0.006830973064,0.03275064503,-0.03189862295,0.0008963245114
Auto Viação Transcap Ltda,8,0,0.02877818914,-0.0347249615,-0.005234151838,-0.02882377236,-0.01751659752
Alfa Rodobus S/A,8,0,0.06715698592,0.0102099691,0.04372798241,0.03082668837,0.07714513191